shape              B            kernel        ms   TFLOP/s      GB/s
--------------------------------------------------------------------
deepseek-v3        1      gate_up_bf16    0.0440     10.69   10684.6
deepseek-v3        1      gate_bf16_d2    0.0439     10.69   10693.0
deepseek-v3        1       gate_fp8_d2    0.0431     10.90    8177.1
deepseek-v3        1        down_h2_d2    0.0347     10.15   10167.8
deepseek-v3        1       down_fp4_h2    0.0217     16.21   13526.9
deepseek-v3        2      gate_up_bf16    0.1014      9.27    9265.6
deepseek-v3        2      gate_bf16_d2    0.1000      9.40    9396.5
deepseek-v3        2       gate_fp8_d2    0.0993      9.46    7095.1
deepseek-v3        2        down_h2_d2    0.0485     14.53   14545.8
deepseek-v3        2       down_fp4_h2    0.0249     28.25   23576.3
deepseek-v3        4      gate_up_bf16    0.1921      9.78    9782.3
deepseek-v3        4      gate_bf16_d2    0.1848     10.17   10169.5
deepseek-v3        4       gate_fp8_d2    0.1851     10.15    7612.5
deepseek-v3        4        down_h2_d2    0.1147     12.29   12307.5
deepseek-v3        4       down_fp4_h2    0.0509     27.68   23100.3
deepseek-v3        8      gate_up_bf16    0.3753     10.01   10013.4
deepseek-v3        8      gate_bf16_d2    0.3630     10.35   10353.5
deepseek-v3        8       gate_fp8_d2    0.3580     10.50    7874.8
deepseek-v3        8        down_h2_d2    0.2243     12.56   12581.6
deepseek-v3        8       down_fp4_h2    0.1243     22.68   18930.2
minimax            1      gate_up_bf16    0.0174      8.66    8657.4
minimax            1      gate_bf16_d2    0.0158      9.55    9550.1
minimax            1       gate_fp8_d2    0.0163      9.27    6952.0
minimax            1        down_h2_d2    0.0190      5.96    5967.2
minimax            1       down_fp4_h2    0.0091     12.49   10429.5
minimax            2      gate_up_bf16    0.0285     10.62   10613.2
minimax            2      gate_bf16_d2    0.0263     11.48   11478.5
minimax            2       gate_fp8_d2    0.0270     11.17    8378.8
minimax            2        down_h2_d2    0.0241      9.38    9399.8
minimax            2       down_fp4_h2    0.0166     13.68   11428.5
minimax            4      gate_up_bf16    0.0600     10.06   10060.4
minimax            4      gate_bf16_d2    0.0574     10.52   10515.2
minimax            4       gate_fp8_d2    0.0598     10.10    7573.3
minimax            4        down_h2_d2    0.0327     13.87   13898.5
minimax            4       down_fp4_h2    0.0197     23.03   19232.9
minimax            8      gate_up_bf16    0.1270      9.52    9512.8
minimax            8      gate_bf16_d2    0.1163     10.40   10392.5
minimax            8       gate_fp8_d2    0.1212      9.97    7475.0
minimax            8        down_h2_d2    0.0761     11.91   11926.9
minimax            8       down_fp4_h2    0.0355     25.55   21336.6
qwen3next          1      gate_up_bf16    0.0068      6.19    6182.9
qwen3next          1      gate_bf16_d2    0.0058      7.25    7248.3
qwen3next          1       gate_fp8_d2    0.0062      6.81    5106.2
qwen3next          1        down_h2_d2    0.0078      4.06    4077.5
qwen3next          1       down_fp4_h2    0.0063      4.96    4163.9
qwen3next          2      gate_up_bf16    0.0114      7.37    7365.4
qwen3next          2      gate_bf16_d2    0.0100      8.41    8407.5
qwen3next          2       gate_fp8_d2    0.0106      7.93    5947.7
qwen3next          2        down_h2_d2    0.0092      6.81    6848.2
qwen3next          2       down_fp4_h2    0.0070      9.01    7558.0
qwen3next          4      gate_up_bf16    0.0182      9.24    9234.0
qwen3next          4      gate_bf16_d2    0.0165     10.15   10143.4
qwen3next          4       gate_fp8_d2    0.0174      9.63    7221.7
qwen3next          4        down_h2_d2    0.0152      8.26    8302.0
qwen3next          4       down_fp4_h2    0.0083     15.10   12665.5
qwen3next          8      gate_up_bf16    0.0334     10.06   10060.3
qwen3next          8      gate_bf16_d2    0.0298     11.25   11247.0
qwen3next          8       gate_fp8_d2    0.0315     10.67    7996.8
qwen3next          8        down_h2_d2    0.0199     12.67   12741.8
qwen3next          8       down_fp4_h2    0.0154     16.34   13706.3
