GPU arch: gfx950

shape                 B  kernel                         ms     TFLOP/s        GB/s
--------------------------------------------------------------------------------
  deepseek-v3           1  gate_up_bf16x2           0.1000        4.70      7049.2
  deepseek-v3           1  gate_bf16x_fp8w          0.0784        6.00      5995.3
  deepseek-v3           1  down_h2_d2               0.1216        1.93      1932.7
  deepseek-v3           1  down_h2_fp8w_d2          0.0844        2.78      1392.4
  deepseek-v3           2  gate_up_bf16x2           0.2381        3.95      5918.2
  deepseek-v3           2  gate_bf16x_fp8w          0.1684        5.58      5580.9
  deepseek-v3           2  down_h2_d2               0.2303        2.04      2040.4
  deepseek-v3           2  down_h2_fp8w_d2          0.1500        3.13      1566.9
  deepseek-v3           4  gate_up_bf16x2           0.4095        4.59      6882.7
  deepseek-v3           4  gate_bf16x_fp8w          0.3012        6.24      6238.5
  deepseek-v3           4  down_h2_d2               0.4921        1.91      1909.7
  deepseek-v3           4  down_h2_fp8w_d2          0.3250        2.89      1446.2
  deepseek-v3           8  gate_up_bf16x2           0.7975        4.71      7068.5
  deepseek-v3           8  gate_bf16x_fp8w          0.5855        6.42      6419.4
  deepseek-v3           8  down_h2_d2               0.9378        2.00      2004.1
  deepseek-v3           8  down_h2_fp8w_d2          0.6351        2.96      1480.1
  qwen3next             1  gate_up_bf16x2           0.0691        0.61       911.2
  qwen3next             1  gate_bf16x_fp8w          0.0635        0.66       660.4
  qwen3next             1  down_h2_d2               0.0731        0.29       287.2
  qwen3next             1  down_h2_fp8w_d2          0.0743        0.28       141.4
  qwen3next             2  gate_up_bf16x2           0.0598        1.40      2103.9
  qwen3next             2  gate_bf16x_fp8w          0.0614        1.37      1367.3
  qwen3next             2  down_h2_d2               0.0717        0.58       585.4
  qwen3next             2  down_h2_fp8w_d2          0.0665        0.63       315.8
  qwen3next             4  gate_up_bf16x2           0.0614        2.74      4101.1
  qwen3next             4  gate_bf16x_fp8w          0.0578        2.90      2901.4
  qwen3next             4  down_h2_d2               0.0726        1.15      1155.9
  qwen3next             4  down_h2_fp8w_d2          0.0694        1.21       605.8
  qwen3next             8  gate_up_bf16x2           0.0638        5.26      7888.5
  qwen3next             8  gate_bf16x_fp8w          0.0661        5.08      5077.2
  qwen3next             8  down_h2_d2               0.0900        1.86      1866.2
  qwen3next             8  down_h2_fp8w_d2          0.0672        2.50      1250.5
  minimax               1  gate_up_bf16x2           0.0659        2.29      3436.9
  minimax               1  gate_bf16x_fp8w          0.0646        2.34      2338.7
  minimax               1  down_h2_d2               0.0749        1.01      1009.1
  minimax               1  down_h2_fp8w_d2          0.0790        0.96       478.3
  minimax               2  gate_up_bf16x2           0.0624        4.84      7256.4
  minimax               2  gate_bf16x_fp8w          0.0625        4.83      4833.3
  minimax               2  down_h2_d2               0.0855        1.77      1767.4
  minimax               2  down_h2_fp8w_d2          0.0671        2.25      1126.6
  minimax               4  gate_up_bf16x2           0.1350        4.48      6710.9
  minimax               4  gate_bf16x_fp8w          0.1077        5.61      5606.4
  minimax               4  down_h2_d2               0.1521        1.99      1986.0
  minimax               4  down_h2_fp8w_d2          0.1010        2.99      1495.9
  minimax               8  gate_up_bf16x2           0.2650        4.56      6837.9
  minimax               8  gate_bf16x_fp8w          0.1957        6.18      6174.9
  minimax               8  down_h2_d2               0.3173        1.90      1904.5
  minimax               8  down_h2_fp8w_d2          0.2358        2.56      1281.9
