GPU arch: gfx950
shape                 B  kernel                         ms     TFLOP/s        GB/s
--------------------------------------------------------------------------------
  deepseek-v3           1  gate_up_bf16x2           0.0999        4.70      7051.2
  deepseek-v3           1  gate_bf16x_fp8w          0.0765        6.14      6138.3
  deepseek-v3           2  gate_up_bf16x2           0.2101        4.47      6709.0
  deepseek-v3           2  gate_bf16x_fp8w          0.1656        5.67      5674.1
  deepseek-v3           4  gate_up_bf16x2           0.3849        4.88      7324.2
  deepseek-v3           4  gate_bf16x_fp8w          0.2966        6.34      6335.7
  deepseek-v3           8  gate_up_bf16x2           0.7544        4.98      7473.2
  deepseek-v3           8  gate_bf16x_fp8w          0.5776        6.51      6507.2
  qwen3next             1  gate_up_bf16x2           0.0631        0.67       997.7
  qwen3next             1  gate_bf16x_fp8w          0.0626        0.67       669.8
  qwen3next             2  gate_up_bf16x2           0.0610        1.38      2063.3
  qwen3next             2  gate_bf16x_fp8w          0.0573        1.46      1463.7
  qwen3next             4  gate_up_bf16x2           0.0581        2.89      4328.6
  qwen3next             4  gate_bf16x_fp8w          0.0598        2.81      2807.6
  qwen3next             8  gate_up_bf16x2           0.0665        5.05      7570.0
  qwen3next             8  gate_bf16x_fp8w          0.0647        5.19      5189.9
  minimax               1  gate_up_bf16x2           0.0641        2.36      3533.7
  minimax               1  gate_bf16x_fp8w          0.0624        2.42      2422.1
  minimax               2  gate_up_bf16x2           0.0618        4.88      7324.7
  minimax               2  gate_bf16x_fp8w          0.0614        4.92      4918.2
  minimax               4  gate_up_bf16x2           0.1260        4.79      7188.4
  minimax               4  gate_bf16x_fp8w          0.1114        5.42      5420.5
  minimax               8  gate_up_bf16x2           0.2503        4.83      7241.0
  minimax               8  gate_bf16x_fp8w          0.1944        6.22      6214.3
