GPU arch: gfx942
Note: gfx942 detected — bf16xbf16 path only (fp8 is gfx950-only).

shape                 B  kernel                         ms     TFLOP/s        GB/s
--------------------------------------------------------------------------------
  deepseek-v3           1  gate_up_bf16x2           0.1583        2.97      4450.7
  deepseek-v3           1  down_h2_f32              0.1057        2.22      2223.0
  deepseek-v3           1  down_h2_f32_nw2          0.1046        2.25      2245.6
  deepseek-v3           1  down_h2_f32_nw4          0.1038        2.26      2262.3
  deepseek-v3           1  gate_up_sk_kb2           0.1800        2.61      3915.7
  deepseek-v3           2  gate_up_bf16x2           0.2590        3.63      5441.2
  deepseek-v3           2  down_h2_f32              0.2177        2.16      2158.1
  deepseek-v3           2  down_h2_f32_nw2          0.2283        2.06      2058.2
  deepseek-v3           2  down_h2_f32_nw4          0.1863        2.52      2522.8
  deepseek-v3           2  gate_up_sk_kb2           0.2927        3.21      4815.0
  deepseek-v3           4  gate_up_bf16x2           0.5336        3.52      5282.6
  deepseek-v3           4  down_h2_f32              0.4056        2.32      2317.0
  deepseek-v3           4  down_h2_f32_nw2          0.4252        2.21      2210.3
  deepseek-v3           4  down_h2_f32_nw4          0.3399        2.76      2764.9
  deepseek-v3           4  gate_up_sk_kb2           0.5834        3.22      4831.5
  deepseek-v3           8  gate_up_bf16x2           1.0406        3.61      5417.6
  deepseek-v3           8  down_h2_f32              0.8173        2.30      2299.7
  deepseek-v3           8  down_h2_f32_nw2          0.7904        2.38      2377.9
  deepseek-v3           8  down_h2_f32_nw4          0.6796        2.77      2765.8
  deepseek-v3           8  gate_up_sk_kb2           1.1568        3.25      4873.2
  qwen3next             1  gate_up_bf16x2           0.0929        0.45       677.1
  qwen3next             1  down_h2_f32              0.1051        0.20       199.7
  qwen3next             1  down_h2_f32_nw2          0.1041        0.20       201.6
  qwen3next             1  down_h2_f32_nw4          0.1059        0.20       198.1
  qwen3next             1  gate_up_sk_kb2           0.1749        0.24       359.8
  qwen3next             1  gate_up_sk_kb4           0.1698        0.25       370.5
  qwen3next             2  gate_up_bf16x2           0.0847        0.99      1485.2
  qwen3next             2  down_h2_f32              0.0997        0.42       421.0
  qwen3next             2  down_h2_f32_nw2          0.0944        0.44       444.5
  qwen3next             2  down_h2_f32_nw4          0.0953        0.44       440.3
  qwen3next             2  gate_up_sk_kb2           0.1725        0.49       729.7
  qwen3next             2  gate_up_sk_kb4           0.1618        0.52       777.7
  qwen3next             4  gate_up_bf16x2           0.0841        2.00      2994.6
  qwen3next             4  down_h2_f32              0.0980        0.86       856.6
  qwen3next             4  down_h2_f32_nw2          0.0938        0.89       895.4
  qwen3next             4  down_h2_f32_nw4          0.0943        0.89       889.9
  qwen3next             4  gate_up_sk_kb2           0.1688        0.99      1491.4
  qwen3next             4  gate_up_sk_kb4           0.1596        1.05      1576.9
  qwen3next             8  gate_up_bf16x2           0.0883        3.80      5701.0
  qwen3next             8  down_h2_f32              0.0998        1.68      1682.7
  qwen3next             8  down_h2_f32_nw2          0.0946        1.77      1775.3
  qwen3next             8  down_h2_f32_nw4          0.0999        1.68      1681.1
  qwen3next             8  gate_up_sk_kb2           0.1691        1.99      2977.6
  qwen3next             8  gate_up_sk_kb4           0.1611        2.08      3125.0
  minimax               1  gate_up_bf16x2           0.0915        1.65      2474.6
  minimax               1  down_h2_f32              0.1061        0.71       711.8
  minimax               1  down_h2_f32_nw2          0.1161        0.65       650.8
  minimax               1  down_h2_f32_nw4          0.1092        0.69       691.4
  minimax               1  gate_up_sk_kb2           0.1735        0.87      1305.6
  minimax               2  gate_up_bf16x2           0.0876        3.45      5171.1
  minimax               2  down_h2_f32              0.1091        1.38      1384.3
  minimax               2  down_h2_f32_nw2          0.0969        1.56      1558.9
  minimax               2  down_h2_f32_nw4          0.0958        1.58      1576.2
  minimax               2  gate_up_sk_kb2           0.1676        1.80      2703.0
  minimax               4  gate_up_bf16x2           0.1564        3.86      5792.1
  minimax               4  down_h2_f32              0.1314        2.30      2299.2
  minimax               4  down_h2_f32_nw2          0.1194        2.53      2531.2
  minimax               4  down_h2_f32_nw4          0.1178        2.56      2564.8
  minimax               4  gate_up_sk_kb2           0.2091        2.89      4333.5
  minimax               8  gate_up_bf16x2           0.3361        3.60      5392.0
  minimax               8  down_h2_f32              0.2653        2.28      2277.9
  minimax               8  down_h2_f32_nw2          0.2353        2.57      2568.6
  minimax               8  down_h2_f32_nw4          0.2244        2.69      2692.7
  minimax               8  gate_up_sk_kb2           0.4200        2.88      4314.5
