GPU arch: gfx950

shape                 B  kernel                         ms     TFLOP/s        GB/s
--------------------------------------------------------------------------------
  deepseek-v3           1  gate_up_bf16x2           0.1036        4.53      6800.4
  deepseek-v3           1  gate_bf16x_fp8w          0.1139        4.12      4123.5
  deepseek-v3           1  down_h2_d2               0.1100        2.13      2135.5
  deepseek-v3           1  down_h2_fp8w_d2          0.1117        2.10      1051.9
  deepseek-v3           1  down_h2_f32_nw2          0.1069        2.20      2197.2
  deepseek-v3           1  down_h2_f32_nw4          0.1079        2.18      2176.4
  deepseek-v3           1  gate_up_sk_kb2           0.1787        2.63      3943.1
  deepseek-v3           4  gate_up_bf16x2           0.4260        4.41      6615.9
  deepseek-v3           4  gate_bf16x_fp8w          0.3045        6.17      6171.7
  deepseek-v3           4  down_h2_d2               0.1891        4.97      4969.9
  deepseek-v3           4  down_h2_fp8w_d2          0.1628        5.77      2886.4
  deepseek-v3           4  down_h2_f32_nw2          0.3638        2.58      2583.4
  deepseek-v3           4  down_h2_f32_nw4          0.3017        3.11      3114.5
  deepseek-v3           4  gate_up_sk_kb2           0.4317        4.35      6530.0
  deepseek-v3           8  gate_up_bf16x2           0.7646        4.92      7372.9
  deepseek-v3           8  gate_bf16x_fp8w          0.5806        6.47      6473.7
  deepseek-v3           8  down_h2_d2               0.3755        5.00      5005.0
  deepseek-v3           8  down_h2_fp8w_d2          0.3042        6.18      3090.5
  deepseek-v3           8  down_h2_f32_nw2          0.7111        2.64      2643.3
  deepseek-v3           8  down_h2_f32_nw4          0.5769        3.26      3257.9
  deepseek-v3           8  gate_up_sk_kb2           0.8302        4.53      6790.0
  minimax               1  gate_up_bf16x2           0.0951        1.59      2382.0
  minimax               1  gate_bf16x_fp8w          0.0924        1.64      1634.6
  minimax               1  down_h2_d2               0.1138        0.66       663.6
  minimax               1  down_h2_fp8w_d2          0.1079        0.70       350.1
  minimax               1  down_h2_f32_nw2          0.1113        0.68       678.8
  minimax               1  down_h2_f32_nw4          0.1042        0.72       725.1
  minimax               1  gate_up_sk_kb2           0.1716        0.88      1320.1
  minimax               4  gate_up_bf16x2           0.1374        4.40      6595.8
  minimax               4  gate_bf16x_fp8w          0.1145        5.28      5277.9
  minimax               4  down_h2_d2               0.1053        2.87      2870.0
  minimax               4  down_h2_fp8w_d2          0.1040        2.90      1453.2
  minimax               4  down_h2_f32_nw2          0.1014        2.98      2981.1
  minimax               4  down_h2_f32_nw4          0.1010        2.99      2990.6
  minimax               4  gate_up_sk_kb2           0.1642        3.68      5517.5
  minimax               8  gate_up_bf16x2           0.2416        5.00      7500.7
  minimax               8  gate_bf16x_fp8w          0.1924        6.28      6278.8
  minimax               8  down_h2_d2               0.1239        4.87      4876.8
  minimax               8  down_h2_fp8w_d2          0.1083        5.58      2792.1
  minimax               8  down_h2_f32_nw2          0.2049        2.95      2948.8
  minimax               8  down_h2_f32_nw4          0.1793        3.37      3369.6
  minimax               8  gate_up_sk_kb2           0.2801        4.31      6470.3
  qwen3next             1  gate_up_bf16x2           0.0903        0.46       696.9
  qwen3next             1  gate_bf16x_fp8w          0.0894        0.47       469.3
  qwen3next             1  down_h2_d2               0.1087        0.19       193.2
  qwen3next             1  down_h2_fp8w_d2          0.1170        0.18        89.8
  qwen3next             1  down_h2_f32_nw2          0.1096        0.19       191.5
  qwen3next             1  down_h2_f32_nw4          0.1107        0.19       189.6
  qwen3next             1  gate_up_sk_kb2           0.1676        0.25       375.3
  qwen3next             1  gate_up_sk_kb4           0.1652        0.25       381.0
  qwen3next             4  gate_up_bf16x2           0.0838        2.00      3004.1
  qwen3next             4  gate_bf16x_fp8w          0.0929        1.81      1806.3
  qwen3next             4  down_h2_d2               0.0973        0.86       862.9
  qwen3next             4  down_h2_fp8w_d2          0.0961        0.87       437.3
  qwen3next             4  down_h2_f32_nw2          0.0961        0.87       874.1
  qwen3next             4  down_h2_f32_nw4          0.0994        0.84       844.8
  qwen3next             4  gate_up_sk_kb2           0.1632        1.03      1542.5
  qwen3next             4  gate_up_sk_kb4           0.1629        1.03      1544.7
  qwen3next             8  gate_up_bf16x2           0.0871        3.86      5780.0
  qwen3next             8  gate_bf16x_fp8w          0.0861        3.90      3899.1
  qwen3next             8  down_h2_d2               0.0988        1.70      1699.0
  qwen3next             8  down_h2_fp8w_d2          0.0980        1.71       857.1
  qwen3next             8  down_h2_f32_nw2          0.1002        1.68      1676.5
  qwen3next             8  down_h2_f32_nw4          0.1025        1.64      1638.0
  qwen3next             8  gate_up_sk_kb2           0.1648        2.04      3054.1
  qwen3next             8  gate_up_sk_kb4           0.1596        2.10      3154.3
