GPU arch: gfx950

shape                 B  kernel                         ms     TFLOP/s        GB/s
--------------------------------------------------------------------------------
  deepseek-v3           1  gate_up_bf16x2           0.0943        4.98      7475.3
  deepseek-v3           1  gate_bf16x_fp8w          0.0766        6.14      6136.7
  deepseek-v3           2  gate_up_bf16x2           0.2207        4.26      6385.0
  deepseek-v3           2  gate_bf16x_fp8w          0.1670        5.63      5626.1
  deepseek-v3           4  gate_up_bf16x2           0.3931        4.78      7170.0
  deepseek-v3           4  gate_bf16x_fp8w          0.2968        6.33      6331.3
  deepseek-v3           8  gate_up_bf16x2           0.7653        4.91      7366.4
  deepseek-v3           8  gate_bf16x_fp8w          0.5787        6.49      6494.2
  qwen3next             1  gate_up_bf16x2           0.0636        0.66       989.2
  qwen3next             1  gate_bf16x_fp8w          0.0625        0.67       670.7
  qwen3next             2  gate_up_bf16x2           0.0616        1.36      2044.2
  qwen3next             2  gate_bf16x_fp8w          0.0587        1.43      1428.4
  qwen3next             4  gate_up_bf16x2           0.0586        2.86      4293.3
  qwen3next             4  gate_bf16x_fp8w          0.0608        2.76      2762.3
  qwen3next             8  gate_up_bf16x2           0.0641        5.24      7854.3
  qwen3next             8  gate_bf16x_fp8w          0.0672        4.99      4992.2
  minimax               1  gate_up_bf16x2           0.0650        2.32      3483.1
  minimax               1  gate_bf16x_fp8w          0.0649        2.33      2328.0
  minimax               2  gate_up_bf16x2           0.0635        4.75      7129.8
  minimax               2  gate_bf16x_fp8w          0.0598        5.05      5050.3
  minimax               4  gate_up_bf16x2           0.1324        4.57      6845.6
  minimax               4  gate_bf16x_fp8w          0.1115        5.42      5419.1
  minimax               8  gate_up_bf16x2           0.2562        4.72      7073.5
  minimax               8  gate_bf16x_fp8w          0.1957        6.18      6173.8
